mp-ids;Icohp_mean_avg;Icohp_mean_max;Icohp_mean_min;Icohp_mean_std;Icohp_sum_avg;Icohp_sum_max;Icohp_sum_min;Icohp_sum_std;bonding_perc_avg;bonding_perc_max;bonding_perc_min;bonding_perc_std;antibonding_perc_avg;antibonding_perc_min;antibonding_perc_max;antibonding_perc_std;Made_Loe;Made_Mull
mp-4514;-4.885;-4.88;-4.89;0.005;-19.545;-9.77;-29.32;9.775;0.990225;0.99056;0.98989;0.000335;0.009775;0.00944;0.01011;0.000335;-48.45;-65.73
mp-9732;-0.354285714;-0.24;-0.44;0.082090045;-1.652857143;-1.29;-2.63;0.439893308;0.826965714;0.99438;0.73897;0.086642079;0.173034286;0.00562;0.26103;0.086642079;-64.73;-62.68
mp-9062;-5;-5;-5;0;-5;-5;-5;0;0.76539;0.76539;0.76539;0;0.23461;0.23461;0.23461;0;-21.28;-25.04
mp-4165;-4.09;-3.99;-4.19;0.1;-14.365;-11.96;-16.77;2.405;0.96981;1;0.93828;0.030204866;0.03019;0;0.06172;0.030204866;-93.53;-128.84
mp-7956;-0.52;-0.46;-0.58;0.06;-3.38;-1.74;-5.02;1.64;0.987675;0.99211;0.98324;0.004435;0.012325;0.00789;0.01676;0.004435;-19.9;-23.31
mp-1315;-0.74;-0.74;-0.74;0;-4.42;-4.42;-4.42;0;0.99109;0.99109;0.99109;0;0.00891;0.00891;0.00891;0;-19.66;-22.32
mp-4547;-1.378;-0.67;-2.28;0.738793611;-6.842;-3.31;-9.14;2.182085241;0.92159;0.98955;0.82315;0.062260797;0.07841;0.01045;0.17685;0.062260797;-22.12;-34.22
mp-6088;-1.091111111;-0.24;-2.28;0.701339107;-4.696666667;-0.97;-9.12;2.793778803;0.83873;0.9117;0.70317;0.077719545;0.16127;0.0883;0.29683;0.077719545;-25.22;-39.69
mp-3654;-0.374285714;-0.22;-0.74;0.231446207;-2.084285714;-0.86;-4.47;1.099101674;0.884042857;0.94386;0.77985;0.066635345;0.115957143;0.05614;0.22015;0.066635345;-28;-28.64
mp-4809;-2.97;-1.03;-4.92;1.940012887;-8.6625;-1.03;-19.69;7.101025894;0.85539;0.99294;0.71928;0.135587674;0.14461;0.00706;0.28072;0.135587674;-6.89;-10.98
