mp-ids,Icohp_mean_avg,Icohp_mean_max,Icohp_mean_min,Icohp_mean_std,Icohp_sum_avg,Icohp_sum_max,Icohp_sum_min,Icohp_sum_std,bonding_perc_avg,bonding_perc_max,bonding_perc_min,bonding_perc_std,antibonding_perc_avg,antibonding_perc_min,antibonding_perc_max,antibonding_perc_std,Madelung_Mull,Madelung_Loew
mp-27985,-1.8399999999999999,-0.48,-3.18,1.1235657524150513,-7.843999999999999,-1.92,-12.74,4.25478836136417,0.9515779999999999,0.9885,0.81373,0.06895911147919472,0.048422,0.0115,0.18627,0.06895911147919469,-30.4,-18.11
mp-27999,-0.572,-0.17,-1.63,0.5320112780759445,-1.65,-0.34,-3.27,0.9366322650859301,0.8454239999999998,0.97115,0.64167,0.10052353010116588,0.154576,0.02885,0.35833,0.10052353010116587,-20.88,-20.13
mp-28020,-3.5599999999999996,-1.19,-5.93,2.3699999999999997,-8.9025,-1.19,-23.71,8.726045424474938,0.8537399999999999,0.99665,0.71039,0.1429103386742891,0.14626,0.00335,0.28961,0.14291033867428907,-21.87,-8.96
mp-28069,-0.61,-0.6,-0.62,0.010000000000000009,-2.4325,-1.24,-3.71,0.8743104425774635,0.8311074999999999,0.83333,0.82948,0.001681002305173916,0.1688925,0.16667,0.17052,0.001681002305173907,-69.6,-59.25
mp-28075,-3.94,-0.91,-7.15,2.017463754321252,-9.404,-0.91,-20.89,6.476040765776571,0.9384819999999999,0.99857,0.7673,0.08667194826470674,0.061517999999999996,0.00143,0.2327,0.08667194826470674,-59.04,-47.06
mp-28084,-0.922,-0.26,-1.85,0.759194309778465,-3.504,-0.39,-11.11,3.911396681493709,0.8379080000000002,0.96697,0.64331,0.12020466919383789,0.16209199999999999,0.03303,0.35669,0.12020466919383789,-10.06,-7.04
mp-28110,-0.922,-0.24,-1.84,0.7534560372045604,-3.418,-0.45,-11.04,3.8959486649595365,0.839668,0.97306,0.65753,0.11931463940355351,0.160332,0.02694,0.34247,0.1193146394035535,-6.47,-4.67
mp-28111,-14.22,-14.22,-14.22,0.0,-21.325,-14.22,-28.43,7.1049999999999995,0.905375,0.90539,0.90536,1.4999999999987246e-05,0.094625,0.09461,0.09464,1.5000000000001124e-05,-40.3,-39.33
mp-28145,-1.048,-0.27,-2.15,0.901030521125672,-3.9459999999999993,-0.4,-12.87,4.564298850864171,0.8265819999999999,0.9517,0.61702,0.12263687706395658,0.17341800000000002,0.0483,0.38298,0.12263687706395658,-13.02,-9.68
mp-28171,-0.33199999999999996,-0.26,-0.41,0.06734983296193094,-1.98,-0.81,-3.07,0.8973962335557242,0.868728,0.9187,0.8254,0.041142605362324794,0.131272,0.0813,0.1746,0.041142605362324836,-18.72,-17.57
mp-28237,-0.48999999999999994,-0.12,-0.99,0.35480824241960457,-1.4977777777777777,-0.12,-3.92,1.137499966083299,0.9438055555555555,0.9901,0.85448,0.042268932933751995,0.056194444444444436,0.0099,0.14552,0.04226893293375201,-19.9,-14.47
mp-28243,-0.5277777777777778,-0.13,-1.04,0.3697680287176386,-1.6477777777777776,-0.4,-4.12,1.1029533865216181,0.9338933333333332,0.99048,0.86071,0.04659102774855549,0.06610666666666667,0.00952,0.13929,0.04659102774855548,-20.48,-16.11
mp-28264,-5.594999999999999,-3.76,-7.91,1.7206757393535834,-10.15,-7.91,-13.15,2.1717849801488174,0.9819675,0.99879,0.94043,0.024145792982422414,0.0180325,0.00121,0.05957,0.024145792982422424,-43.37,-32.17
mp-28266,-3.0133333333333336,-2.14,-4.76,1.2350798444725029,-7.453333333333333,-4.28,-9.52,2.277854741247172,0.9163033333333334,0.96575,0.89122,0.034965308839222664,0.08369666666666666,0.03425,0.10878,0.03496530883922266,-0.49,-0.13
mp-28270,-1.092,-0.32,-2.12,0.8406997085761361,-2.5520000000000005,-0.64,-4.24,1.444027700565332,0.8330679999999999,0.98919,0.6422,0.13604765185772227,0.166932,0.01081,0.3578,0.13604765185772225,-27.44,-25.15
mp-28295,-6.756666666666667,-6.75,-6.76,0.004714045207910216,-11.26,-6.75,-20.27,6.371033406494323,0.9205900000000001,0.92212,0.91811,0.0017695385462506222,0.07941000000000001,0.07788,0.08189,0.0017695385462505946,-101.66,-97.91
mp-28302,-0.72,-0.33,-1.76,0.6007079157127864,-1.7575,-0.39,-3.51,0.9066662837008995,0.8628425,0.96774,0.66387,0.09195118035539296,0.1371575,0.03226,0.33613,0.09195118035539293,-26.22,-26.34
mp-28377,-1.72,-1.72,-1.72,0.0,-6.875,-3.44,-10.31,3.435,0.89627,0.89631,0.89623,4.0000000000040004e-05,0.10373,0.10369,0.10377,3.999999999999837e-05,-3.61,-1.86
mp-28423,-4.42,-4.01,-4.83,0.41000000000000014,-9.6375,-4.83,-12.03,2.939416396157577,0.9921000000000001,0.99794,0.98626,0.005840000000000012,0.0079,0.00206,0.01374,0.00584,-0.89,-0.03
mp-28453,-0.741111111111111,-0.2,-1.95,0.6124167869904077,-2.111111111111111,-0.35,-6.36,2.0504278385224035,0.7973666666666666,0.98844,0.62687,0.12995655556120794,0.20263333333333333,0.01156,0.37313,0.12995655556120797,-8.84,-6.76
mp-2853,-2.3200000000000003,-0.56,-3.2,1.2445079348883237,-15.073333333333332,-6.78,-19.22,5.864272238640433,0.9349933333333333,0.9933,0.81838,0.08245807877676725,0.06500666666666667,0.0067,0.18162,0.08245807877676727,-9.19,-7.05
mp-28553,-0.45,-0.15,-0.67,0.19829271292712702,-2.154,-1.14,-4.0,1.012118570129014,0.8182919999999999,0.90683,0.72059,0.07470105819866277,0.181708,0.09317,0.27941,0.07470105819866275,-79.5,-79.48
mp-28554,-0.505,-0.37,-0.64,0.135,-2.265,-1.1,-3.85,0.9992622278461245,0.8597999999999999,0.90167,0.81871,0.04083211664854028,0.14020000000000002,0.09833,0.18129,0.04083211664854028,-42.02,-37.83
mp-2858,-2.845,-0.54,-4.22,1.3929375434670428,-13.14,-2.72,-24.92,7.879685907445804,0.9517475,1.0,0.8266,0.07269610903445933,0.0482525,0.0,0.1734,0.07269610903445933,-97.92,-71.5
mp-28591,-1.0516666666666667,-0.44,-2.15,0.7773334048027412,-2.3666666666666667,-0.44,-4.29,1.2761748399894988,0.8815966666666667,0.99728,0.68067,0.11356556016484734,0.11840333333333335,0.00272,0.31933,0.11356556016484731,-23.64,-22.72
mp-28599,-0.5233333333333333,-0.32,-0.72,0.1588150566609546,-2.1566666666666663,-0.62,-4.13,1.2267527143732848,0.929605,0.97454,0.83871,0.047532448127568606,0.070395,0.02546,0.16129,0.0475324481275686,-24.8,-21.05
mp-28602,-0.51,-0.28,-0.74,0.22999999999999998,-2.5949999999999998,-1.12,-4.42,1.3576173982385464,0.9056525,0.97002,0.84146,0.06333964768413224,0.0943475,0.02998,0.15854,0.06333964768413225,-19.76,-18.06
mp-28603,-0.615,-0.43,-0.8,0.18500000000000003,-2.69,-2.17,-3.21,0.52,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-40.9,-33.56
mp-28626,-2.103333333333333,-0.82,-5.06,1.420618018876135,-6.016666666666667,-4.1,-8.76,1.9602437490158093,0.9059783333333334,0.98958,0.80095,0.07281136505076356,0.09402166666666667,0.01042,0.19905,0.07281136505076358,-68.46,-42.68
mp-28627,-0.35124999999999995,-0.28,-0.42,0.04648588495446763,-1.675,-0.36,-2.97,0.8639155051276717,0.87246,0.94253,0.76471,0.06265528988042429,0.12754000000000001,0.05747,0.23529,0.0626552898804243,-25.16,-23.43
mp-28650,-1.275,-0.47,-3.28,1.1696260086027497,-2.0575,-0.47,-3.54,1.3657667260553685,0.7331475,0.93187,0.62466,0.12560741068404366,0.2668525,0.06813,0.37534,0.12560741068404366,-5.12,-4.42
mp-28797,-1.4280000000000002,-0.36,-1.99,0.5956307581043813,-7.030000000000001,-2.91,-11.91,4.012679902509046,0.9876999999999999,1.0,0.97068,0.011144403079573184,0.0123,0.0,0.02932,0.011144403079573173,-4.61,-2.06
mp-288,-1.7766666666666666,-0.33,-2.5,1.0229478101165388,-7.323333333333333,-1.99,-9.99,3.7712361663282534,0.8118833333333333,0.83875,0.75815,0.03799520437575716,0.18811666666666668,0.16125,0.24185,0.03799520437575716,-2.18,-1.44
mp-28872,-7.83,-7.83,-7.83,0.0,-15.665,-7.83,-23.5,7.835,0.916945,0.91696,0.91693,1.4999999999987246e-05,0.083055,0.08304,0.08307,1.5000000000001124e-05,-38.75,-38.34
mp-28873,-7.83,-7.83,-7.83,0.0,-15.66,-7.83,-23.49,7.829999999999999,0.91872,0.91872,0.91872,0.0,0.08128,0.08128,0.08128,0.0,-38.28,-38.1
mp-2894,-0.93,-0.64,-1.24,0.24535688292770594,-4.993333333333333,-3.65,-6.36,1.1064758871701132,0.9171999999999999,0.99843,0.77667,0.09977221356670407,0.0828,0.00157,0.22333,0.09977221356670402,-10.31,-8.91
mp-28994,-0.2922222222222222,-0.12,-0.75,0.24670169921397325,-1.4022222222222223,-0.5,-4.48,1.2050336812054285,0.8923766666666667,1.0,0.68571,0.10731992369649833,0.10762333333333333,0.0,0.31429,0.10731992369649833,-28.21,-27.18
mp-29025,-0.7257142857142858,-0.15,-1.21,0.40411657239172044,-2.4185714285714286,-0.15,-6.62,2.159162725101883,0.8596685714285714,0.988,0.59712,0.14361250248285404,0.14033142857142858,0.012,0.40288,0.14361250248285404,-26.43,-25.18
mp-29055,-1.058,-0.31,-2.66,0.9593831351446616,-3.694,-0.64,-7.97,3.032995878665185,0.966772,0.99474,0.92211,0.02679667471907661,0.033228,0.00526,0.07789,0.026796674719076617,-3.75,-2.64
mp-29091,-1.4675,-0.39,-3.27,1.11111149305549,-4.49625,-0.39,-13.06,3.733968858667678,0.82561,0.98585,0.72317,0.10076332331260221,0.17439,0.01415,0.27683,0.1007633233126022,-23.88,-18.11
mp-29138,-0.875,-0.29,-1.91,0.7343874998936188,-2.8349999999999995,-0.95,-7.64,2.366423109533317,0.8536533333333333,0.98326,0.6899,0.10282059904945551,0.14634666666666665,0.01674,0.3101,0.1028205990494555,-15.22,-13.96
mp-29149,-0.5425,-0.1,-1.01,0.3394020477251132,-2.21125,-0.1,-6.76,2.236316376879622,0.880875,0.98361,0.70732,0.09792022339639551,0.119125,0.01639,0.29268,0.0979202233963955,-18.22,-21.62
mp-29151,-0.84,-0.35,-1.48,0.3178499196611058,-3.624285714285714,-1.48,-7.58,1.9670053899472755,0.9267385714285714,0.99333,0.80342,0.06814609252576859,0.07326142857142857,0.00667,0.19658,0.06814609252576859,-31.28,-23.98
mp-29163,-2.3966666666666665,-0.88,-4.34,1.5368221179506176,-4.55111111111111,-2.26,-12.33,2.832982113307634,0.7936233333333333,0.92549,0.68636,0.10894344628700199,0.20637666666666668,0.07451,0.31364,0.10894344628700198,-26.54,-23.13
mp-2918,-2.2239999999999998,-0.48,-3.13,0.9680413214320966,-7.522,-2.19,-18.79,6.172420594871999,0.846112,0.99682,0.73724,0.11843874963879009,0.153888,0.00318,0.26276,0.11843874963879009,-43.13,-30.84
mp-2920,-1.6128571428571428,-0.73,-3.27,1.0624596030735782,-8.94,-4.4,-19.63,5.341500591727812,0.9377485714285713,0.99797,0.81994,0.06731381760690984,0.06225142857142856,0.00203,0.18006,0.06731381760690985,-70.32,-46.88
mp-29208,-0.5650000000000001,-0.46,-0.67,0.10500000000000001,-2.385,-1.39,-2.77,0.5753911712913226,0.9343699999999999,0.97527,0.89205,0.040912323326841256,0.06563,0.02473,0.10795,0.04091232332684126,-58.33,-52.27
mp-29209,-0.46399999999999997,-0.14,-0.64,0.182931681236466,-2.002,-0.82,-2.71,0.7659347230671816,0.82209,0.96043,0.72277,0.11322109132136114,0.17790999999999998,0.03957,0.27723,0.11322109132136113,-54.02,-49.79
mp-29266,-2.78,-0.63,-4.93,2.15,-4.04,-3.15,-4.93,0.8899999999999999,0.81,0.86239,0.75761,0.05238999999999999,0.19,0.13761,0.24239,0.05238999999999999,-9.89,-6.3
mp-29342,-0.605,-0.59,-0.62,0.015000000000000013,-2.42,-1.18,-3.54,0.8365404951345751,0.8323174999999999,0.83908,0.82466,0.006792048199917347,0.1676825,0.16092,0.17534,0.006792048199917309,-68.72,-59.53
mp-29364,-2.6333333333333337,-0.74,-5.21,2.079481773049344,-7.353333333333333,-2.95,-29.68,8.079826730815459,0.9854111111111111,1.0,0.92974,0.020865348437831045,0.014588888888888889,0.0,0.07026,0.020865348437831055,-77.13,-72.5
mp-29396,-1.9000000000000001,-0.56,-2.24,0.601664358259653,-4.545000000000001,-1.13,-8.96,2.289474102641624,0.8265533333333334,0.89286,0.76404,0.06070907528716131,0.17344666666666667,0.10714,0.23596,0.06070907528716133,-32.99,-28.7
mp-29398,-2.033333333333333,-0.42,-2.84,1.1407989403142966,-6.766666666666667,-0.42,-17.04,7.331217876693855,0.8731366666666666,0.98786,0.64539,0.16104270786209338,0.12686333333333333,0.01214,0.35461,0.16104270786209338,-11.35,-7.76
mp-29403,-2.83,-1.25,-4.41,1.58,-7.0825000000000005,-1.25,-17.66,6.271743677000839,0.8472700000000001,0.98947,0.70482,0.1419206329255898,0.15272999999999998,0.01053,0.29518,0.1419206329255898,-1.32,-0.58
mp-29463,-1.2349999999999999,-0.84,-1.63,0.39499999999999996,-4.115,-3.34,-4.89,0.7749999999999999,0.99949,1.0,0.99796,0.0008833459118601454,0.00051,0.0,0.00204,0.0008833459118601276,-160.74,-156.64
mp-29484,-0.7362499999999998,-0.28,-1.88,0.6613043455928593,-1.7475,-0.39,-3.75,0.9833584036352159,0.8448687500000001,0.94792,0.65833,0.08485401470135341,0.15513125,0.05208,0.34167,0.0848540147013534,-22.88,-23.14
mp-29506,-2.533333333333333,-1.16,-3.22,0.9710933128295254,-7.983333333333333,-4.64,-12.87,3.5326697490079018,0.8942533333333333,0.92308,0.83721,0.04033649657017272,0.10574666666666666,0.07692,0.16279,0.040336496570172714,-42.52,-38.34
mp-29521,-2.4233333333333333,-0.76,-3.26,1.1761613645905715,-7.526666666666666,-3.05,-13.02,4.133233869771008,0.9052533333333334,0.92549,0.86538,0.028195768398033682,0.09474666666666666,0.07451,0.13462,0.02819576839803369,-41.97,-38.24
mp-29529,-1.3699999999999999,-0.34,-3.34,1.3934848402476432,-4.109999999999999,-1.03,-10.01,4.173280084857313,0.9769733333333334,0.99038,0.95714,0.01075101338892707,0.023026666666666668,0.00962,0.04286,0.01075101338892706,-5.68,-3.63
mp-29584,-0.66625,-0.27,-1.62,0.552492929819016,-1.74875,-0.37,-3.24,0.8183128604024259,0.8744575,0.96528,0.59893,0.1162966312656992,0.1255425,0.03472,0.40107,0.11629663126569917,-36.92,-34.62
mp-29585,-0.67375,-0.28,-1.64,0.5587919447343528,-1.6624999999999999,-0.36,-3.29,0.868759892030013,0.8659012500000001,0.98052,0.67647,0.09257875963706522,0.13409875,0.01948,0.32353,0.09257875963706523,-25.04,-24.7
mp-2961,-2.8625000000000003,-0.99,-4.74,1.872503337780737,-8.5925,-1.99,-18.94,6.572694938151322,0.988445,0.99272,0.98297,0.004358397067730316,0.011555000000000001,0.00728,0.01703,0.004358397067730292,-31.23,-27.12
mp-2964,-15.434999999999999,-15.43,-15.44,0.004999999999999893,-23.145,-15.44,-30.85,7.705000000000001,0.916365,0.9164,0.91633,3.500000000000725e-05,0.08363499999999999,0.0836,0.08367,3.500000000000031e-05,-6.12,-4.9
mp-29678,-1.19,-0.71,-1.67,0.48,-5.364999999999999,-2.14,-10.03,2.8931341137251136,0.813575,0.91283,0.714,0.09922032062536386,0.18642499999999998,0.08717,0.286,0.09922032062536382,-8.53,-6.5
mp-29750,-0.434,-0.19,-0.76,0.2665783186982767,-2.1799999999999997,-0.92,-4.56,1.3519023633384177,0.9670479999999999,0.98517,0.9505,0.014309864290062306,0.032952,0.01483,0.0495,0.014309864290062294,-36.98,-31.33
mp-29751,-0.44000000000000006,-0.22,-0.66,0.22000000000000003,-2.22,-0.9,-3.97,1.2078700261203605,0.9820425000000002,0.9854,0.97872,0.003322592173288807,0.0179575,0.0146,0.02128,0.0033225921732888014,-30.73,-25.56
